Mdot_Msun_yr;Rsnow_AU
9.968820405299641e-08;2.7225497671417065
9.507651152429218e-08;2.6871140840464784
9.067245000138356e-08;2.626207829126729
8.647602115568459e-08;2.5835504058460836
8.247034497636179e-08;2.5249915301546104
7.865517067986253e-08;2.4677599527091827
7.501491581634759e-08;2.4118255889049793
7.154313627819006e-08;2.349451339462405
6.823060228971334e-08;2.3037315578403823
6.507417508954837e-08;2.2589014726323504
6.206376789119484e-08;2.2149437705511286
5.919138288508327e-08;2.1861148960621235
5.64507500608614e-08;2.1435736039868933
5.383814219691675e-08;2.10875559547121
5.134752697832124e-08;2.060958441407767
4.897213052311491e-08;2.0076582622793446
4.670564206758735e-08;1.9685896951712196
4.454311418789068e-08;1.9239695480333145
4.248160587690462e-08;1.880360763260809
4.051635726709181e-08;1.8437693761471798
3.864202334891194e-08;1.8019784122638223
3.685207706807064e-08;1.7727089252788246
3.514651910388181e-08;1.7325286209357509
3.352060015889645e-08;1.6988140132430412
3.196855571247005e-08;1.6657554840463158
3.048837280647743e-08;1.6386986624281088
2.9077334645475178e-08;1.6120813240372367
2.7730436566782462e-08;1.5807105929844336
2.64475942450896e-08;1.5550351532491256
2.5221979443290338e-08;1.519788652918057
2.4054171201872303e-08;1.485341051430524
2.2940433898533902e-08;1.4469273976093588
2.1877345320979786e-08;1.4187705239042165
2.086439769632438e-08;1.3820785064685972
1.9898350775353118e-08;1.3640898927951128
1.8976236158210028e-08;1.3375450178432993
1.80976134067135e-08;1.3115167000406363
1.7259671954343444e-08;1.2944464922825862
1.6459837034561675e-08;1.2651065068658842
1.569772661477571e-08;1.24048782579299
1.4970902831833498e-08;1.2123708700629907
1.4277132353620736e-08;1.1887784123290648
1.3615512072483312e-08;1.1618335046103063
1.298455210782756e-08;1.139224492361478
1.2383351595522907e-08;1.1207200995090274
1.1809243556802198e-08;1.102516273013018
1.1261751901988668e-08;1.0775265870238833
1.0739868145857202e-08;1.0635019065110463
1.0242169139779236e-08;1.0393965219982835
9.767123995933617e-09;1.0225136321890427
9.314307619204519e-09;0.9993372898406591
8.882297901106624e-09;0.9798904164831063
8.470503195287174e-09;0.9576801739578366
8.07746063480611e-09;0.9421246005965366
7.702979215368013e-09;0.9268216959958295
7.345550783509927e-09;0.9087859593828818
7.005001642099043e-09;0.8969575433712641
6.680240795008612e-09;0.8823882860687758
6.370402526759082e-09;0.865217213373086
6.0748074171550266e-09;0.8483802857948863
5.792806688900794e-09;0.8291508581117485
5.523896813619341e-09;0.8156829829779877
5.267470096314216e-09;0.7971946739069615
5.0229470520078116e-09;0.7842458622155297
4.78977509619425e-09;0.7689846184705655
4.56742729608352e-09;0.7564940219524244
4.355401179814139e-09;0.7442063098582783
4.153043208481354e-09;0.7297242265748519
3.9600870687758435e-09;0.7178713355485178
3.776254502464144e-09;0.7062109707129904
3.600955691054756e-09;0.6947400048705207
3.4335782123147873e-09;0.6834553616183473
3.2741181532189536e-09;0.6723540145236375
3.122129186294542e-09;0.6614329863118248
2.9771332451024057e-09;0.6485616528290474
2.8389903217635082e-09;0.638027083309649
2.7073142532107768e-09;0.6256112233052752
2.581691288249148e-09;0.6134369730752841
2.4619490839705796e-09;0.6054527083102681
2.3477113876462023e-09;0.5956183562196371
2.238915487331527e-09;0.5859437432460584
2.1350716711220605e-09;0.5764262747513413
2.036087014167053e-09;0.5670633982419334
1.9416914126733005e-09;0.5596827144735332
1.8516721121526093e-09;0.5523980949072279
1.7658262216873767e-09;0.5434255074781074
1.684030968639111e-09;0.5345986615457727
1.6060245728062655e-09;0.5276405265716019
1.5315993729093006e-09;0.5207729560634528
1.460623130440194e-09;0.5139947712683212
1.392936016371196e-09;0.5073048087754075
1.3284413892407671e-09;0.49906467038261487
1.2668797434105992e-09;0.4909583763365699
1.2081963079052804e-09;0.484568246889983
1.152255353358272e-09;0.47826128896324865
1.0988814612693299e-09;0.47203642002716684
1.0479799138290147e-09;0.465892571642331
9.994781567899327e-10;0.45982868927573967
9.531610811540583e-10;0.45682640956566356
9.090667384144382e-10;0.450880528952471
8.669576435368479e-10;0.44501203768351544
8.268338125023729e-10;0.44210649776694083
7.885338483881958e-10;0.436352205985653
7.520395638824212e-10;0.4335032072062574
7.172342782754363e-10;0.4278608926169256
6.840254612164554e-10;0.4250673346972097
6.523679491871967e-10;0.42229201627071566
6.22188647374984e-10;0.41679562232309486
5.933681002391714e-10;0.41679562232309486
5.659063187176246e-10;0.41137076737044326
5.397268327215756e-10;0.4100256222165656
5.147584402658327e-10;0.4060165202881268
4.909348073181657e-10;0.40468888303730566
4.682039302561902e-10;0.4007319620706797
4.4653489541080095e-10;0.4007319620706797
4.258776706113967e-10;0.3968137306361671
4.06176073111892e-10;0.3955161856740655
3.8738589447939497e-10;0.394222883566479
3.694649714146524e-10;0.3916489524652171
3.523730911417854e-10;0.390368295859991
3.360719011748044e-10;0.390368295859991
3.2052482325843024e-10;0.390368295859991
3.057098079607167e-10;0.3878195318497171
2.9156731587033374e-10;0.3878195318497171
2.780907489042566e-10;0.38528740904224823
2.652259466821021e-10;0.38528740904224823
2.5295628520758937e-10;0.38528740904224823
2.412592978348546e-10;0.38528740904224823
2.3010802364709165e-10;0.38528740904224823
2.194675659697664e-10;0.38528740904224823
2.0931913520131677e-10;0.38528740904224823
1.9964836263557725e-10;0.38528740904224823
1.904123966446059e-10;0.38655139710309566
1.8161513604119127e-10;0.3890918268858825
1.7321704484046076e-10;0.390368295859991
1.6521422826303398e-10;0.390368295859991
1.5757453375928633e-10;0.390368295859991
1.5029757378114944e-10;0.3916489524652171
1.4334463281212174e-10;0.3955161856740655
1.3672482483193056e-10;0.3955161856740655
1.30405250731958e-10;0.3968137306361671
1.2437777440467695e-10;0.39942160484663836
1.1863387616858752e-10;0.4007319620706797
1.1315048592006501e-10;0.4020466181008791
1.0792507583695549e-10;0.4060165202881268
1.0293665829950202e-10;0.4073485130345981
9.818293366609826e-11;0.41137076737044326
9.364874110478178e-11;0.41137076737044326
8.932019170266471e-11;0.41679562232309486
8.51952900148531e-11;0.4181629773886016
8.126088068503767e-11;0.42229201627071566
7.750816657301904e-11;0.42646182624690526
7.392875679991293e-11;0.42926454881559456
7.051464798656746e-11;0.4335032072062574
6.725961847966137e-11;0.43921992848821856
6.415484452097596e-11;0.44210649776694083
6.11921053978134e-11;0.4479366729136612
5.836618872629045e-11;0.45384373211979534
5.567077589970754e-11;0.45982868927573967
5.3099840111359533e-11;0.46436914512620237
5.0648696252463566e-11;0.4689544344979545
4.831069974400036e-11;0.4766974178616424
4.6079660119983945e-11;0.484568246889983
4.3951652284583875e-11;0.4925690324636546
4.192279829256154e-11;0.5007019203164305
3.998759831141217e-11;0.5106388343534352
3.8141729174566154e-11;0.5173727635221649
3.6381067277320575e-11;0.5293715235114282
3.47009508002292e-11;0.5398774135616338
3.309981374548282e-11;0.5523980949072279
3.157255477790602e-11;0.5633609695449547
3.011513280467177e-11;0.5764262747513413
2.8725590042003557e-11;0.5936707381364398
2.7399586922654103e-11;0.6094317654389897
2.613479348672478e-11;0.6276636265202044
2.4928384231552842e-11;0.6506893480681343
2.3777664082617914e-11;0.6679641300669458
2.268006237284305e-11;0.6856975304433167
2.163312709981811e-11;0.7085277924270444
2.063495268065124e-11;0.7321181867418726
1.9682421798529763e-11;0.751554776738128
1.8773860732837564e-11;0.7715073777248539
1.79076157629794e-11;0.7919896889848129
1.7080981590205276e-11;0.8130157734952459
1.629318985734033e-11;0.8346000675833898
1.5541079263845365e-11;0.8567573908383364
1.4824309346425883e-11;0.8795029562860326
1.4140300682161018e-11;0.8999001353150979
1.3487852871211929e-11;0.9177595241523997
1.2865239551367095e-11;0.9329128017517165
1.2271109071708131e-11;0.9483162775957354
1.1704907656921107e-11;0.970309355335893
1.1164596942952144e-11;0.9863302917922026
1.0649227533621115e-11;1.0092049795913565
1.0158074647115156e-11;1.0258681280609776
9.6893707831776e-12;1.0462274735881578
9.242487437549059e-12;1.0635019065110463
8.815844602543175e-12;1.08460813078219
8.409249146689044e-12;1.0989111446486608
8.020901054984587e-12;1.1134027761364251
7.650969180292596e-12;1.1317863514659507
7.297792483685848e-12;1.1504734610143046
6.960918790801499e-12;1.1580344142706374
6.639734939811484e-12;1.1733057199294084
6.333503809804471e-12;1.1887784123290648
6.041269522201392e-12;1.2044551472097462
5.7626402080448625e-12;1.2123708700629907
5.49674614585072e-12;1.220338615333537
5.243230787351581e-12;1.2364315429463115
5.0010927991537e-12;1.2445574158305328
4.770337306572287e-12;1.252736692245671
4.5502291063917655e-12;1.269256861855044
4.340094674712903e-12;1.2775984639240778
4.140012143777555e-12;1.2859948873040443
3.948987785722834e-12;1.302953641515167
3.7669356578271525e-12;1.3115167000406363
3.593200866661984e-12;1.3201360352968914
3.4274788955720776e-12;1.3375450178432993
3.2692629041725145e-12;1.3375450178432993
3.118415798924224e-12;1.3507522496736784
2.9744664815818906e-12;1.3551835772402718
2.8371620144774596e-12;1.3640898927951128
2.706252482405838e-12;1.3730547409783698
2.581383248878936e-12;1.3730547409783698
2.462327305162632e-12;1.377559234919142
2.3486637152161517e-12;1.3911615764724703
2.240341026127371e-12;1.3911615764724703
2.1369694196013225e-12;1.3911615764724703
2.0384102804056957e-12;1.3957254723644794
1.94439678600492e-12;1.4048982307225182
1.854680346789041e-12;1.4095071915882604
1.7691778023344825e-12;1.4095071915882604
1.6875815756020347e-12;1.4095071915882604
1.6096810544941004e-12;1.4141312727807265
1.535408738513165e-12;1.4234249947257647
1.4645019258849885e-12;1.4280947351756736
1.3969283221015903e-12;1.4280947351756736
1.332472632912619e-12;1.4280947351756736
1.2709909945772864e-12;1.4374802255013335
1.2123970895934325e-12;1.4421960760588552
1.1564801389728127e-12;1.4469273976093588
1.1031421333146534e-12;1.4469273976093588
1.0522641291314192e-12;1.4612146965989419
1.0036905222684257e-12;1.466008411336278
9.573993245628263e-13;1.480484120710923
9.13185602956124e-13;1.480484120710923
